name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Bond Fund,"443,876,986,762.3110","3,858,539,196.4232",115.0376,115.0376,115.0376,03-08-2023
Umoja Fund,"322,638,714,719.0000","345,528,599.5286",933.754,933.754,924.4165,02-08-2023
Wekeza Maisha Fund,"9,528,512,084.1505","11,911,160.5444",799.965,799.965,783.9657,02-08-2023
Watoto Fund,"11,628,182,420.8590","19,722,082.5722",589.6022,589.6022,583.7061,02-08-2023
Jikimu Fund,"19,937,792,383.2931","120,921,691.8972",164.8819,164.8819,161.5842,02-08-2023
Liquid Fund,"761,118,087,271.2240","2,081,432,993.9653",365.6702,365.6702,365.6702,02-08-2023
Bond Fund,"439,513,855,412.8110","3,821,632,696.8552",115.0068,115.0068,115.0068,02-08-2023
Umoja Fund,"322,629,124,524.2710","345,458,143.1979",933.9167,933.9167,924.5775,01-08-2023
Wekeza Maisha Fund,"9,516,948,383.0274","11,898,660.1249",799.8336,799.8336,783.8369,01-08-2023
Watoto Fund,"11,603,291,724.0080","19,681,735.7787",589.5462,589.5462,583.6507,01-08-2023
Jikimu Fund,"19,932,223,294.4619","120,888,404.7706",164.8812,164.8812,161.5836,01-08-2023
Liquid Fund,"756,962,030,827.8180","2,070,632,306.7064",365.5705,365.5705,365.5705,01-08-2023
Bond Fund,"437,076,008,454.4690","3,801,442,550.8346",114.9764,114.9764,114.9764,01-08-2023
Umoja Fund,"322,160,427,605.0200","345,451,130.2487",932.5789,932.5789,923.2531,31-07-2023
Wekeza Maisha Fund,"9,494,292,509.0717","11,881,108.0944",799.1083,799.1083,783.1262,31-07-2023
Watoto Fund,"11,583,019,611.1451","19,664,270.6072",589.0389,589.0389,583.1485,31-07-2023
Jikimu Fund,"19,854,177,658.2163","120,595,695.8443",164.6342,164.6342,161.3415,31-07-2023
Liquid Fund,"755,242,140,849.9139","2,066,495,797.0505",365.47,365.47,365.47,31-07-2023
Bond Fund,"439,503,342,176.6890","3,790,613,449.5385",115.9452,115.9452,115.9452,31-07-2023
Umoja Fund,"321,980,403,733.0040","345,409,710.5748",932.1695,932.1695,922.8478,28-07-2023
Wekeza Maisha Fund,"9,479,692,911.0641","11,872,786.2206",798.4388,798.4388,782.47,28-07-2023
Watoto Fund,"11,538,976,031.5660","19,604,972.9582",588.5739,588.5739,582.6882,28-07-2023
Jikimu Fund,"19,832,265,245.2418","120,552,606.5844",164.5113,164.5113,161.2211,28-07-2023
Liquid Fund,"753,816,349,781.3790","2,064,290,085.5430",365.1698,365.1698,365.1698,28-07-2023
Bond Fund,"438,332,908,087.4190","3,783,545,367.6195",115.8524,115.8524,115.8524,28-07-2023
Umoja Fund,"321,934,763,082.6040","345,411,371.5480",932.0329,932.0329,922.7126,27-07-2023
Wekeza Maisha Fund,"9,442,531,909.1177","11,829,011.8045",798.252,798.252,782.2869,27-07-2023
Watoto Fund,"11,525,362,666.4918","19,586,447.7874",588.4356,588.4356,582.5512,27-07-2023
Jikimu Fund,"19,820,834,220.6676","120,508,101.9358",164.4772,164.4772,161.1876,27-07-2023
Liquid Fund,"753,482,911,411.6250","2,063,941,698.9071",365.0699,365.0699,365.0699,27-07-2023
Bond Fund,"437,243,555,148.8330","3,780,263,845.4809",115.6648,115.6648,115.6648,27-07-2023
Umoja Fund,"321,636,084,376.1920","345,249,479.0155",931.6048,931.6048,922.2888,26-07-2023
Wekeza Maisha Fund,"9,431,932,419.8971","11,819,346.1964",798.008,798.008,782.0478,26-07-2023
Watoto Fund,"11,500,435,711.9954","19,551,438.6122",588.2143,588.2143,582.3322,26-07-2023
Jikimu Fund,"19,774,400,113.1465","120,275,209.3354",164.4096,164.4096,161.1214,26-07-2023
Liquid Fund,"752,239,871,929.5660","2,061,099,453.6088",364.9702,364.9702,364.9702,26-07-2023
Bond Fund,"435,851,313,005.4350","3,769,242,941.1945",115.6336,115.6336,115.6336,26-07-2023
Umoja Fund,"321,575,262,454.3020","345,233,345.8538",931.4722,931.4722,922.1575,25-07-2023
Wekeza Maisha Fund,"9,422,108,919.0539","11,809,788.6396",797.822,797.822,781.8655,25-07-2023
Watoto Fund,"11,470,874,493.6685","19,505,636.8638",588.08,588.08,582.1992,25-07-2023
Jikimu Fund,"19,800,275,715.2308","120,457,652.1624",164.3754,164.3754,161.0879,25-07-2023
Liquid Fund,"748,759,684,532.6071","2,052,123,036.8453",364.8708,364.8708,364.8708,25-07-2023
Bond Fund,"434,915,317,042.9010","3,762,157,371.8580",115.6026,115.6026,115.6026,25-07-2023
Umoja Fund,"321,468,105,946.8280","345,057,901.9867",931.6353,931.6353,922.3189,24-07-2023
Wekeza Maisha Fund,"9,398,638,440.5971","11,782,284.0651",797.6924,797.6924,781.7386,24-07-2023
Watoto Fund,"11,161,442,943.8616","18,981,060.1423",588.0305,588.0305,582.1502,24-07-2023
Jikimu Fund,"19,764,117,081.2733","120,238,136.4201",164.3748,164.3748,161.0873,24-07-2023
Liquid Fund,"746,635,184,174.3020","2,046,860,605.4488",364.7709,364.7709,364.7709,24-07-2023
Bond Fund,"432,484,368,070.5840","3,742,135,887.0904",115.5715,115.5715,115.5715,24-07-2023
Umoja Fund,"321,378,330,330.5900","345,109,021.4777",931.2371,931.2371,921.9247,21-07-2023
Wekeza Maisha Fund,"9,382,449,892.1292","11,770,249.6808",797.1326,797.1326,781.19,21-07-2023
Watoto Fund,"11,153,647,323.1601","18,981,094.0121",587.6188,587.6188,581.7426,21-07-2023
Jikimu Fund,"19,749,168,723.7653","120,222,336.4054",164.272,164.272,160.9866,21-07-2023
Liquid Fund,"745,326,388,945.7321","2,044,955,824.2161",364.4707,364.4707,364.4707,21-07-2023
Bond Fund,"431,881,520,331.7120","3,739,954,387.1360",115.4778,115.4778,115.4778,21-07-2023
Umoja Fund,"321,463,024,580.5330","345,150,621.7963",931.3703,931.3703,922.0566,20-07-2023
Wekeza Maisha Fund,"9,376,849,943.0886","11,761,215.4112",797.2688,797.2688,781.3234,20-07-2023
Watoto Fund,"11,134,772,664.5276","18,947,277.3142",587.6714,587.6714,581.7947,20-07-2023
Jikimu Fund,"19,805,161,908.2177","120,528,315.9607",164.3196,164.3196,161.0332,20-07-2023
Liquid Fund,"744,488,531,186.5850","2,043,219,114.1582",364.3704,364.3704,364.3704,20-07-2023
Bond Fund,"431,385,836,282.4820","3,736,674,530.8500",115.4465,115.4465,115.4465,20-07-2023
Umoja Fund,"321,671,038,684.3310","345,251,567.3204",931.7004,931.7004,922.3834,19-07-2023
Wekeza Maisha Fund,"9,351,813,736.0830","11,736,441.8900",796.8185,796.8185,780.8821,19-07-2023
Watoto Fund,"11,127,144,238.0100","18,935,113.5286",587.646,587.646,581.7696,19-07-2023
Jikimu Fund,"19,810,143,245.0197","120,522,232.0959",164.3692,164.3692,161.0818,19-07-2023
Liquid Fund,"744,411,454,752.6410","2,043,569,259.1834",364.2702,364.2702,364.2702,19-07-2023
Bond Fund,"431,314,833,644.2020","3,737,071,331.5206",115.4152,115.4152,115.4152,19-07-2023
Umoja Fund,"321,709,423,590.1460","345,207,658.0444",931.9301,931.9301,922.6108,18-07-2023
Wekeza Maisha Fund,"9,342,104,889.6616","11,719,828.3890",797.1196,797.1196,781.1772,18-07-2023
Watoto Fund,"11,083,594,904.5745","18,856,141.1446",587.7976,587.7976,581.9196,18-07-2023
Jikimu Fund,"19,776,847,885.9720","120,255,157.0590",164.4574,164.4574,161.1682,18-07-2023
Liquid Fund,"743,989,489,185.6200","2,042,972,080.7677",364.1702,364.1702,364.1702,18-07-2023
Bond Fund,"430,695,734,370.0950","3,732,726,284.9878",115.3837,115.3837,115.3837,18-07-2023
Umoja Fund,"321,520,352,238.9460","345,066,368.9027",931.7638,931.7638,922.4462,17-07-2023
Wekeza Maisha Fund,"9,313,286,284.1090","11,687,985.7595",796.8256,796.8256,780.8891,17-07-2023
Watoto Fund,"11,069,379,880.8143","18,837,967.9299",587.6101,587.6101,581.734,17-07-2023
Jikimu Fund,"19,763,737,802.8024","120,215,630.7687",164.4024,164.4024,161.1143,17-07-2023
Liquid Fund,"748,627,837,768.8521","2,056,275,008.6021",364.0699,364.0699,364.0699,17-07-2023
Bond Fund,"430,059,897,362.4220","3,728,217,408.2238",115.3527,115.3527,115.3527,17-07-2023
Umoja Fund,"321,462,161,251.6710","345,151,171.4657",931.3663,931.3663,922.0526,14-07-2023
Wekeza Maisha Fund,"9,300,712,331.6473","11,680,354.3962",796.2697,796.2697,780.3443,14-07-2023
Watoto Fund,"11,054,223,218.4516","18,825,087.3152",587.207,587.207,581.3349,14-07-2023
Jikimu Fund,"19,741,034,998.9802","120,153,051.2484",164.2991,164.2991,161.0131,14-07-2023
Liquid Fund,"745,420,646,991.6090","2,049,141,460.5269",363.7722,363.7722,363.7722,14-07-2023
Bond Fund,"430,550,514,933.8580","3,735,514,426.4718",115.2587,115.2587,115.2587,14-07-2023
Umoja Fund,"321,180,644,038.7540","345,117,130.3886",930.6424,930.6424,921.336,13-07-2023
Wekeza Maisha Fund,"9,286,611,904.9386","11,667,029.8780",795.9705,795.9705,780.0511,13-07-2023
Watoto Fund,"11,026,767,397.6584","18,788,133.4357",586.9006,586.9006,581.0316,13-07-2023
Jikimu Fund,"19,872,713,574.6958","121,033,996.7575",164.1912,164.1912,160.9073,13-07-2023
Liquid Fund,"743,965,338,753.7679","2,045,699,780.9262",363.6728,363.6728,363.6728,13-07-2023
Bond Fund,"429,327,797,334.7800","3,725,913,542.4507",115.2275,115.2275,115.2275,13-07-2023
Umoja Fund,"321,327,974,497.5860","345,105,176.8057",931.1016,931.1016,921.7906,12-07-2023
Wekeza Maisha Fund,"9,279,194,952.4472","11,658,752.6647",795.8995,795.8995,779.9815,12-07-2023
Watoto Fund,"11,019,250,630.8695","18,774,109.0317",586.9387,586.9387,581.0693,12-07-2023
Jikimu Fund,"19,855,650,148.9419","120,906,461.2694",164.2232,164.2232,160.9388,12-07-2023
Liquid Fund,"741,870,792,814.8669","2,040,499,561.4874",363.5731,363.5731,363.5731,12-07-2023
Bond Fund,"428,411,744,066.9720","3,718,976,804.8700",115.1961,115.1961,115.1961,12-07-2023
Umoja Fund,"321,165,529,119.3680","345,089,419.0974",930.6734,930.6734,921.3666,11-07-2023
Wekeza Maisha Fund,"9,272,371,563.1331","11,653,731.6577",795.6569,795.6569,779.7437,11-07-2023
Watoto Fund,"11,005,861,362.6816","18,758,363.8338",586.7176,586.7176,580.8504,11-07-2023
Jikimu Fund,"19,786,680,418.8212","120,536,353.1318",164.1553,164.1553,160.8722,11-07-2023
Liquid Fund,"740,313,555,968.4130","2,036,776,759.0977",363.4731,363.4731,363.4731,11-07-2023
Bond Fund,"427,773,751,433.8990","3,714,453,725.1655",115.1646,115.1646,115.1646,11-07-2023
Umoja Fund,"321,074,839,583.0110","345,150,919.1200",930.2448,930.2448,920.9423,10-07-2023
Wekeza Maisha Fund,"9,259,570,116.4876","11,641,192.6056",795.4142,795.4142,779.5059,10-07-2023
Watoto Fund,"10,960,200,622.4036","18,687,577.6378",586.4966,586.4966,580.6316,10-07-2023
Jikimu Fund,"19,829,219,107.6892","120,847,840.3724",164.0842,164.0842,160.8025,10-07-2023
Liquid Fund,"736,355,325,988.7500","2,026,434,012.4484",363.3749,363.3749,363.3749,10-07-2023
Bond Fund,"426,040,780,528.8150","3,700,408,326.0470",115.1335,115.1335,115.1335,10-07-2023
Umoja Fund,"320,773,003,121.0480","345,153,981.8166",929.362,929.362,920.0684,06-07-2023
Wekeza Maisha Fund,"9,234,822,492.9540","11,630,847.2506",793.994,793.994,778.1141,06-07-2023
Watoto Fund,"10,908,511,224.6355","18,629,708.4714",585.5439,585.5439,579.6884,06-07-2023
Jikimu Fund,"19,782,539,564.9404","120,787,583.6411",163.7796,163.7796,160.504,06-07-2023
Liquid Fund,"734,444,758,311.9980","2,023,370,527.8636",362.9809,362.9809,362.9809,06-07-2023
Bond Fund,"425,066,563,542.1120","3,695,948,386.1290",115.0088,115.0088,115.0088,06-07-2023
Umoja Fund,"320,776,026,310.0950","345,200,744.0227",929.2449,929.2449,919.9524,05-07-2023
Wekeza Maisha Fund,"9,217,355,452.8055","11,609,935.6355",793.9196,793.9196,778.0412,05-07-2023
Watoto Fund,"10,913,947,331.7565","18,641,645.2086",585.4605,585.4605,579.6059,05-07-2023
Jikimu Fund,"19,771,482,604.8200","120,730,357.9908",163.7656,163.7656,160.4903,05-07-2023
Liquid Fund,"729,550,545,474.3610","2,010,431,475.3860",362.8826,362.8826,362.8826,05-07-2023
Bond Fund,"423,817,015,699.4410","3,686,083,021.5436",114.9776,114.9776,114.9776,05-07-2023
Umoja Fund,"320,296,873,066.9490","345,190,226.4513",927.8851,927.8851,918.6063,04-07-2023
Wekeza Maisha Fund,"9,192,583,078.0033","11,595,407.3834",792.7779,792.7779,776.9224,04-07-2023
Watoto Fund,"10,879,201,933.4168","18,611,204.2902",584.5512,584.5512,578.7057,04-07-2023
Jikimu Fund,"19,721,825,349.6202","120,703,154.4068",163.3911,163.3911,160.1233,04-07-2023
Liquid Fund,"725,921,412,033.7100","2,000,976,764.1692",362.7835,362.7835,362.7835,04-07-2023
Bond Fund,"423,158,379,534.4700","3,681,364,543.8586",114.9461,114.9461,114.9461,04-07-2023
Umoja Fund,"320,305,577,475.5170","345,139,547.4546",928.0466,928.0466,918.7661,03-07-2023
Wekeza Maisha Fund,"9,178,351,674.5156","11,579,333.8835",792.6494,792.6494,776.7964,03-07-2023
Watoto Fund,"10,823,175,545.7210","18,516,874.5345",584.5034,584.5034,578.6583,03-07-2023
Jikimu Fund,"19,713,924,793.5085","120,655,617.4526",163.39,163.39,160.1222,03-07-2023
Liquid Fund,"721,547,234,224.4430","1,990,737,335.7084",362.4523,362.4523,362.4523,03-07-2023
Bond Fund,"420,916,775,254.6990","3,662,852,902.8066",114.915,114.915,114.915,03-07-2023
Umoja Fund,"319,929,433,437.4370","345,145,995.6816",926.9394,926.9394,917.67,30-06-2023
Wekeza Maisha Fund,"9,164,074,761.0186","11,570,314.4976",792.0333,792.0333,776.1927,30-06-2023
Watoto Fund,"10,746,136,127.2386","18,407,513.4413",583.7908,583.7908,577.9528,30-06-2023
Jikimu Fund,"20,036,285,535.8074","120,612,572.6451",166.121,166.121,162.7986,30-06-2023
Liquid Fund,"724,657,653,436.1660","2,000,990,985.0364",362.1494,362.1494,362.1494,30-06-2023
Bond Fund,"423,569,982,148.2740","3,657,123,341.3779",115.8205,115.8205,115.8205,30-06-2023
Umoja Fund,"320,064,416,234.7210","345,239,574.0314",927.0792,927.0792,917.8084,28-06-2023
Wekeza Maisha Fund,"9,149,636,040.0321","11,557,453.0164",791.6654,791.6654,775.8321,28-06-2023
Watoto Fund,"10,730,754,081.9451","18,382,746.2280",583.7405,583.7405,577.9031,28-06-2023
Jikimu Fund,"20,029,696,179.3121","120,527,225.5874",166.184,166.184,162.8603,28-06-2023
Liquid Fund,"725,169,064,147.9050","2,003,506,706.7976",361.9499,361.9499,361.9499,28-06-2023
Bond Fund,"422,807,792,708.4520","3,652,520,494.2137",115.7578,115.7578,115.7578,28-06-2023
Umoja Fund,"320,531,118,421.0790","345,181,930.9037",928.586,928.586,919.3002,27-06-2023
Wekeza Maisha Fund,"9,149,415,371.6217","11,550,895.9842",792.0957,792.0957,776.2538,27-06-2023
